Customer_query,Category,Intent,Priority
I need help with this as soon as possible: the amount I was charged for your AI HR software.,Pricing,Billing Request,High
I'm having trouble with the price of the business plan.,Pricing,Pricing Information,Medium
I urgently need help with changing my service.,Service Inquiry,Service Request,High
Could someone help me with what I'd pay for the HR platform.,Pricing,Pricing Information,Medium
I urgently need help with your service coverage.,Service Inquiry,Service Information,High
I need some help with your service coverage.,Service Inquiry,Service Information,Medium
I'm trying to find out details on the mobile app?,Product Inquiry,Product Information,Low
I need help with this as soon as possible: the business plan crashing.,Technical Support,Technical Issue,High
Just checking—notifications from the premium plan not working?,Technical Support,Technical Issue,Low
Just checking—your business hours?,General Inquiry,General Information,Low
I need help with this as soon as possible: the customer portal crashing.,Technical Support,Technical Issue,High
I'm having a problem with your business hours.,General Inquiry,General Information,Medium
I want to know the price of your AI HR software.,Pricing,Pricing Information,High
Can someone look into this right away: setting up the service.,Service Inquiry,Service Request,High
I'd like some information about your company.,General Inquiry,General Information,Low
I'd like some information about what services you offer.,Service Inquiry,Service Information,Low
Can someone look into this right away: how I can contact your team.,General Inquiry,General Information,High
Something isn't working with customizing the mobile app.,Product Inquiry,Product Request,Medium
I'd like to know integrating your service with another tool?,Product Inquiry,Product Request,Low
Just checking—more information about the business plan?,Product Inquiry,Product Information,Low
I'm stuck with what the software includes.,Product Inquiry,Product Information,Medium
I wanted to ask the mobile app running very slowly?,Technical Support,Technical Issue,Low
I'd like to know the current pricing for my current plan?,Pricing,Pricing Information,Low
I'd like to know what I'd pay for my subscription?,Pricing,Pricing Information,Low
I'm running into an issue with comparing my subscription with another option.,Product Inquiry,Product Request,Medium
I wanted to ask which countries you support?,General Inquiry,General Information,Low
Something isn't working with what the customer portal includes.,Product Inquiry,Product Information,Medium
Just checking—uploading a file to my account?,Technical Support,Technical Issue,Low
I'm stuck with how much our company account costs.,Pricing,Pricing Information,Medium
Can someone look into this right away: how much the mobile app costs.,Pricing,Pricing Information,High
I'd like some information about an error in the business plan.,Technical Support,Technical Issue,Low
I'd like some information about changing my service.,Service Inquiry,Service Request,Low
Do you know integrating the business plan with another tool?,Product Inquiry,Product Request,Low
I'm stuck with your company.,General Inquiry,General Information,Medium
I'd like to know booking an appointment?,Service Inquiry,Service Request,Low
Do you know checking my service request?,Service Inquiry,Service Request,Low
I am facing a problem while logging in.,Technical Support,Support Request,Medium
I'm stuck with checking my service request.,Service Inquiry,Service Request,Medium
I need some help with integrating the business plan with another tool.,Product Inquiry,Product Request,Medium
This is urgent—can you help with a problem with the mobile app.,Technical Support,Technical Issue,High
I'm running into an issue with the premium plan crashing.,Technical Support,Technical Issue,Medium
Could you let me know checking my service request?,Service Inquiry,Service Request,Low
I'd like some information about creating an account.,General Inquiry,Account Request,Low
Please help me resolve this urgently: an error in your service.,Technical Support,Technical Issue,High
I can't seem to a delivery that arrived late.,Complaint,Service Complaint,Medium
Something isn't working with changing my service.,Service Inquiry,Service Request,Medium
I can't seem to my current plan crashing.,Technical Support,Technical Issue,Medium
Something isn't working with integrating your service with another tool.,Product Inquiry,Product Request,Medium
I urgently need help with a refund that still hasn't arrived.,Complaint,Service Complaint,High
I need some help with the amount I was charged for my account.,Pricing,Billing Request,Medium
Just checking—logging into the premium plan?,Technical Support,Technical Issue,Low
I'd like some information about an item that arrived damaged.,Complaint,Service Complaint,Low
This is urgent—can you help with what I'd pay for your AI HR software.,Pricing,Pricing Information,High
I'd like some information about more information about my recent order.,Product Inquiry,Product Information,Low
Just checking—your AI HR software not connecting?,Technical Support,Technical Issue,Low
Can someone look into this right away: the price of our company account.,Pricing,Pricing Information,High
Something isn't working with how I can contact your team.,General Inquiry,General Information,Medium
I'm running into an issue with a service outage.,Complaint,Service Complaint,Medium
Just checking—details on the latest version?,Product Inquiry,Product Information,Low
I'd like some information about what I should know about my account.,Product Inquiry,Product Information,Low
I'm having a problem with notifications from the HR platform not working.,Technical Support,Technical Issue,Medium
Just checking—checking the status of my transfer?,Service Inquiry,Service Request,Low
Could you let me know the current pricing for your service?,Pricing,Pricing Information,Low
Could someone help me with when the service is available.,Service Inquiry,Service Information,Medium
This is urgent—can you help with the current pricing for your service.,Pricing,Pricing Information,High
I'm running into an issue with getting documentation for the premium plan.,Product Inquiry,Product Request,Medium
I'd like to know the monthly cost of the business plan?,Pricing,Pricing Information,Low
I need some help with a refund that still hasn't arrived.,Complaint,Service Complaint,Medium
This is urgent—can you help with upgrading my service.,Service Inquiry,Service Request,High
I'm stuck with the monthly cost of my subscription.,Pricing,Pricing Information,Medium
Can you tell me an issue that support hasn't fixed?,Complaint,Service Complaint,Low
I'd like some information about transferring my service.,Service Inquiry,Service Request,Low
Please help me resolve this urgently: checking the status of my transfer.,Service Inquiry,Service Request,High
Could someone help me with more information about the customer portal.,Product Inquiry,Product Information,Medium
Please help me resolve this urgently: an item that arrived damaged.,Complaint,Service Complaint,High
Just checking—changing my service?,Service Inquiry,Service Request,Low
I'm having trouble with changing my service.,Service Inquiry,Service Request,Medium
This is urgent—can you help with my recent order running very slowly.,Technical Support,Technical Issue,High
I need help with this as soon as possible: details on your AI HR software.,Product Inquiry,Product Information,High
I'd like some information about upgrading my service.,Service Inquiry,Service Request,Low
Just checking—what I should know about the business plan?,Product Inquiry,Product Information,Low
I'm stuck with logging into your service.,Technical Support,Technical Issue,Medium
I'd like some information about getting help with my account.,General Inquiry,Account Request,Low
I'm having a problem with the business plan crashing.,Technical Support,Technical Issue,Medium
I'm running into an issue with the latest version not connecting.,Technical Support,Technical Issue,Medium
I'd like some information about an issue that support hasn't fixed.,Complaint,Service Complaint,Low
This is urgent—can you help with checking the status of my transfer.,Service Inquiry,Service Request,High
I can't seem to your business hours.,General Inquiry,General Information,Medium
Just checking—my current plan not connecting?,Technical Support,Technical Issue,Low
I was wondering a delivery that arrived late?,Complaint,Service Complaint,Low
I'm trying to find out a service outage?,Complaint,Service Complaint,Low
Just checking—where your office is located?,General Inquiry,General Information,Low
I'm having a problem with getting documentation for the software.,Product Inquiry,Product Request,Medium
This is urgent—can you help with your service running very slowly.,Technical Support,Technical Issue,High
Please help me resolve this urgently: uploading a file to the latest version.,Technical Support,Technical Issue,High
I'm running into an issue with what languages you support.,General Inquiry,General Information,Medium
Something isn't working with your service coverage.,Service Inquiry,Service Information,Medium
Something isn't working with cancelling my service.,Service Inquiry,Service Request,Medium
Please help me resolve this urgently: the poor service I received.,Complaint,Service Complaint,High
Just checking—how much the customer portal costs?,Pricing,Pricing Information,Low
Please help me resolve this urgently: the requirements for getting the service.,Service Inquiry,Service Information,High
I'd like some information about a service outage.,Complaint,Service Complaint,Low
